long	lat	str1	dip1	r1	str2	dip2	r3	mo	exp	mw	code	dip	rake	dip_rake	svg
126.02	13.12	322	39	-73	121	53	-104	6.47	25	6.50726952	021576A	40	-75	40_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-75.svg
125.07	14.23	249	67	180	339	90	23	8.35	25	6.581124317	060776A	65	180	65_180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_180.svg
118.55	5.08	59	70	-172	327	83	-20	3.24	25	6.307030007	072676B	70	-170	70_-170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-170.svg
123.75	7.07	341	35	92	158	55	89	10.9	27	7.991617665	081676B	35	90	35_90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_90.svg
126.1	10.08	340	39	-67	131	55	-108	1.34	25	6.051403199	081776A	40	-65	40_-65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-65.svg
123.01	7.14	214	64	-172	120	83	-26	5.71	26	7.137757405	081776B	65	-170	65_-170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_-170.svg
124.24	6.61	232	35	-76	34	56	-100	4.78	24	5.752951931	092976A	35	-75	35_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-75.svg
126.86	8.35	162	39	49	30	62	118	2.03	26	6.838330692	110776B	40	50	40_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_50.svg
123.58	7.03	136	59	14	38	78	148	6.07	23	5.155459127	112276A	60	15	60_15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_15.svg
120.01	20.78	194	29	-62	343	65	-105	3.88	24	5.692554484	010777B	30	-60	30_-60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-60.svg
122.73	15.77	8	43	118	152	53	67	8.16	23	5.241126773	010877A	45	120	45_120	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_120.svg
126.06	12.8	311	34	-88	128	56	-91	2.41	24	5.554678028	011577A	35	-90	35_-90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-90.svg
126.56	5.01	161	40	130	293	61	62	2.45	25	6.226110723	011977B	40	130	40_130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_130.svg
122.7	8	111	65	3	20	87	155	2.49	24	5.564132898	012077A	65	5	65_5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_5.svg
127.01	8.87	313	39	92	130	51	88	2.46	24	5.560623405	022877B	40	90	40_90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_90.svg
123.53	6.62	271	41	53	135	58	117	4.34	25	6.39165982	030277B	40	55	40_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_55.svg
122.59	16.38	207	27	108	7	65	81	8.91	26	7.266585136	031877A	25	110	25_110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_110.svg
122.63	16.82	176	26	94	351	64	88	1.75	25	6.128692032	031977B	25	95	25_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_95.svg
123.15	6.7	22	49	-144	267	64	-47	7.98	24	5.901335261	050277A	50	-145	50_-145	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-145.svg
121.85	12.89	42	65	-172	309	83	-26	3.01	24	5.61904433	051277A	65	-170	65_-170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_-170.svg
120.91	15.92	254	55	171	349	82	35	5.81	24	5.809450755	051277D	55	170	55_170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_170.svg
120.63	15.39	329	48	-15	70	79	-137	1.91	25	6.154022245	052177A	50	-15	50_-15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-15.svg
125.27	13.48	239	83	173	330	83	8	9.87	24	5.962878102	061377B	85	175	85_175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\85_175.svg
125.41	4.8	14	36	-73	173	56	-102	8.85	24	5.931295514	061977B	35	-75	35_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-75.svg
122.09	23.84	300	10	142	67	84	82	6.81	24	5.855431408	071577A	10	140	10_140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_140.svg
122.85	17	174	26	77	8	65	96	2.33	26	6.878237281	072177B	25	75	25_75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_75.svg
119.61	17.38	1	41	70	207	52	107	3.32	25	6.314092056	082977B	40	70	40_70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_70.svg
121.62	11.68	322	77	7	230	83	167	8.12	24	5.906370686	100277A	75	5	75_5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_5.svg
124.46	13.18	129	71	0	39	90	161	1.04	25	5.978022226	100877B	70	0	70_0	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_0.svg
122.09	22.64	345	38	-119	200	57	-69	2.43	24	5.557070849	101977A	40	-120	40_-120	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-120.svg
123.64	6.92	249	8	-47	25	84	-95	7.39	24	5.879096292	112177A	10	-45	10_-45	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_-45.svg
125.99	11.65	166	29	84	353	61	93	1.35	25	6.053555846	112777B	30	85	30_85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_85.svg
124.97	9.69	210	86	176	300	86	4	5.94	24	5.81585763	121477C	85	175	85_175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\85_175.svg
121.92	18.66	100	72	-174	8	84	-18	1.82	25	6.140047592	010678A	70	-175	70_-175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-175.svg
125.59	4.73	194	12	112	351	79	85	6.45	24	5.839706476	020378A	10	110	10_110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_110.svg
122.77	24.37	238	3	85	64	87	90	1.4	25	6.064085357	020878A	5	85	5_85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\5_85.svg
126.94	6.27	152	61	31	45	63	147	6.55	23	5.1774942	031478A	60	30	60_30	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_30.svg
122.47	23.69	291	13	137	63	82	81	6.71	24	5.851148347	031478B	15	135	15_135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_135.svg
122.63	17.09	136	34	44	7	67	116	12.39	23	5.362047538	032178A	35	45	35_45	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_45.svg
123.79	6.84	331	38	51	197	61	117	9.23	24	5.943467801	040478B	40	50	40_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_50.svg
127.28	5.01	346	29	78	180	62	97	3.6	25	6.337535001	041878B	30	80	30_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_80.svg
123.86	6.2	325	30	66	172	63	103	7.44	24	5.881048624	042578A	30	65	30_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_65.svg
124.6	4.78	226	76	-178	135	88	-14	2.64	25	6.247735951	042578B	75	-180	75_-180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_-180.svg
122.79	24.34	69	75	-174	337	84	-15	8.45	24	5.917904473	042978C	75	-175	75_-175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_-175.svg
121.13	19.17	7	22	71	207	69	97	2.89	24	5.607265229	060478B	20	70	20_70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_70.svg
